Variables,TWITTER_SENTIMENT_DAILY_AVG,TWITTER_PUBLICATION_COUNT,TWITTER_POS_SENTIMENT_COUNT,TWITTER_NEG_SENTIMENT_COUNT,TWITTER_NEUTRAL_SENTIMENT_CNT,PX_OPEN,PX_LOW,PX_HIGH,EQY_WEIGHTED_AVG_PX,VWAP_VOLUME,VWAP_TURNOVER,VWAP_NUM_TRADES,NEWS_SENTIMENT_DAILY_AVG,NEWS_NEUTRAL_SENTIMENT_COUNT,NEWS_POS_SENTIMENT_COUNT,NEWS_NEG_SENTIMENT_COUNT,NEWS_PUBLICATION_COUNT
01/01/15,-0.0938,2703,136,539,1604,112.8,110.26,113.13,111.215,11570507,1286814000,63043,-0.1934,77,45,64,964
02/01/15,-0.0981,1782,66,367,1085,111.41,107.35,111.44,109.2027,14781833,1614217000,85481,0.1099,75,27,23,979
05/01/15,-0.0984,2386,102,354,1005,108.17,105.41,108.64,106.682,19446200,2074560000,86706,0.0559,95,44,13,1367
06/01/15,-0.0374,4272,283,575,2743,106.5,104.64,107.41,106.1277,16085214,1707086000,103756,0.191,205,64,28,1966
07/01/15,0.0197,5719,602,571,3910,107.29,106.7,108.19,107.6437,10560182,1136737000,62693,0.1275,278,124,39,2298
08/01/15,0.0276,3676,438,302,2429,109.44,108.7,112.15,111.0886,14789895,1642989000,87005,0.0932,258,112,29,2099
09/01/15,0.0863,5718,1079,354,3311,112.76,110.22,113.25,111.8964,13907205,1556166000,88858,0.2387,254,169,42,2521
12/01/15,0.1252,1830,396,46,1029,112.46,108.8,112.5,109.9695,11853233,1303494000,77625,0.0472,77,49,13,1119
13/01/15,0.0502,3554,533,345,2180,111.5,108.91,112.8,110.9798,16932105,1879121000,106726,0.1217,255,116,43,2002
14/01/15,-0.0276,5239,562,603,3434,109,108.51,110.49,109.5109,13730675,1503658000,76900,0.2851,326,189,103,2602
15/01/15,-0.0363,4578,300,628,3060,109.96,106.66,110,107.6813,16696936,1797947000,101814,0.1497,249,88,92,2445
16/01/15,-0.0349,5484,299,747,3622,107.03,105.2,107.57,106.1147,20192730,2142745000,96099,0.119,185,88,88,2248
19/01/15,-0.0117,1098,53,94,773,107.03,105.2,107.57,106.1147,20192730,2142745000,96099,0.0293,91,21,15,1185
20/01/15,-0.0069,1960,90,135,1486,107.98,106.5,108.77,108.018,15067738,1627587000,69587,0.0851,143,52,18,1437
21/01/15,0.0158,3441,345,154,2525,108.87,108.275,111.05,109.7644,12514922,1373693000,75136,0.1647,166,109,18,1900
22/01/15,0.0214,3274,385,149,2393,110.28,109.72,112.47,111.5251,15263438,1702256000,73097,0.3658,194,88,20,2474
23/01/15,0.04,5081,770,193,3436,112.32,111.53,113.75,112.751,11072225,1248404000,64206,0.2468,234,166,38,2224
26/01/15,0.0114,2718,234,81,1973,113.65,112.81,114.36,113.3963,14351861,1627448000,63045,0.3999,117,80,15,1504
27/01/15,0.0333,6012,866,312,4226,112.43,109.04,112.48,111.429,23695438,2640360000,125937,0.337,227,174,35,2159
28/01/15,0.1555,25339,6454,1192,15096,117.56,115.31,118.12,116.9449,33074118,3867851000,179700,0.498,629,878,108,6198
29/01/15,0.0729,10756,2039,806,6911,116.36,115.56,119.19,117.6773,20300341,2388889000,134848,0.7541,370,510,70,4143
30/01/15,0.0352,6169,866,329,4239,118.28,116.85,120,118.5028,21578324,2557092000,116720,0.5005,230,156,47,2539
02/02/15,0.0163,1657,159,68,1111,118.03,116.09,118.69,117.7316,14221210,1674286000,84312,0.0863,121,46,15,1361
03/02/15,0.0208,4275,446,297,2823,118.27,117.61,119.09,118.4872,14030832,1662474000,64763,0.1578,290,174,40,2659
04/02/15,0.014,4576,387,246,3009,118.52,118.32,120.51,119.7195,16402905,1963748000,86509,0.1693,202,101,21,2107
05/02/15,0.017,6158,638,326,4574,120.05,119.25,120.23,119.8251,10712553,1283632000,60177,0.137,262,129,22,2374
06/02/15,0.0129,4264,325,245,2664,120.1,118.46,120.25,119.456,10433184,1246306000,59211,0.1909,241,92,28,2054
